,Renewable Invesment Cost,Battery Unitary Invesment Cost,Deep of Discharge,Battery Cycles,GenSet Unitary Invesment Cost,Generator Efficiency,Low Heating Value,Fuel Cost,HouseHolds,Renewable Energy Unit Total
82,1000,300,0.02,7000,1000,0.39,11,0.8107840000000001,1.1091773362486426,586.6084299272014
83,1000,300,0.02,7000,1000,0.39,11,0.8071893333333334,1.2845312916615022,586.2583818425912
84,1000,300,0.02,7000,1000,0.39,11,0.8323520000000001,0.12324192619985426,511.5348696923521
85,1000,300,0.02,7000,1000,0.39,11,0.8,9.119902541488823,501.56895346251025
86,1000,300,0.02,7000,1000,0.39,11,0.864704,10.10583795198765,518.6100598018654
87,1000,300,0.02,7000,1000,0.39,11,0.8035946666666667,0.6162096309992647,592.2170638763985
88,1000,300,0.02,7000,1000,0.39,11,0.8071893333333334,44.61357722945234,575.3102688830147
89,1000,300,0.02,7000,1000,0.39,11,0.8179733333333333,0.49296770524936484,556.9217581223377
90,1000,300,0.02,7000,1000,0.39,11,0.950976,1.2324192619985253,556.2096979997582
91,1000,300,0.02,7000,1000,0.39,11,0.8143786666666667,16.698906793219415,541.0641119733319
92,1000,300,0.02,7000,1000,0.39,11,0.8215680000000001,11.338257209486693,538.1464131724401
93,1000,300,0.02,7000,1000,0.39,11,0.8,59.40260849942262,507.7075664554386
94,1000,300,0.02,7000,1000,0.39,11,0.8,7.707187749159104,566.4157547650609
95,1000,300,0.02,7000,1000,0.39,11,0.8215680000000001,2.588080449746975,583.6592121595769
96,1000,300,0.02,7000,1000,0.39,11,0.8143786666666667,1.971870818747657,500.2716958423432
97,1000,300,0.02,7000,1000,0.39,11,0.8071893333333334,5.915612462992646,510.94921813091287
98,1000,300,0.02,7000,1000,0.39,11,0.8179733333333333,1.2845312916615022,530.2156977974357
99,1000,300,0.02,7000,1000,0.39,11,0.8179733333333333,14.129844207466618,529.5987554516345
100,1000,300,0.02,7000,1000,0.39,11,0.8071893333333334,10.229079886736985,527.530282012613
101,1000,300,0.02,7000,1000,0.39,11,0.8287573333333333,7.8874832839898295,577.6053889816408
102,1000,300,0.02,7000,1000,0.39,11,0.8071893333333334,8.626934824990556,507.5688404970603
103,1000,300,0.02,7000,1000,0.39,11,0.8395413333333334,1.8486288929978076,538.913720028121
104,1000,300,0.02,7000,1000,0.39,11,0.8359466666666667,2.8345643034966113,549.6608077049694
105,1000,300,0.02,7000,1000,0.39,11,0.8143786666666667,5.422644746494048,592.6498121043218
106,1000,300,0.02,7000,1000,0.39,11,0.8143786666666667,6.408580156992702,509.1442094646442
107,1000,300,0.02,7000,1000,0.39,11,0.8143786666666667,14.17282150623403,500.95248689190737
108,1000,300,0.02,7000,1000,0.39,11,0.8035946666666667,2.711322377746687,505.9555898620909
109,1000,300,0.02,7000,1000,0.39,11,0.8215680000000001,1.3556611877484412,589.7923127615139
110,1000,300,0.02,7000,1000,0.39,11,0.8071893333333334,0.6162096309992647,543.8330499621363
111,1000,300,0.02,7000,1000,0.39,11,0.8035946666666667,6.408580156992702,505.15418690802073
112,1000,300,0.02,7000,1000,0.39,11,0.8287573333333333,2.341596598247201,580.6526926623449
113,1000,300,0.02,7000,1000,0.39,11,0.8359466666666667,0.9859354104987287,581.1346900537982
114,1000,300,0.02,7000,1000,0.39,11,0.85392,2.588080449746975,532.6770225223672
115,1000,300,0.02,7000,1000,0.39,11,0.8179733333333333,88.61094489764851,505.529782738609
116,1000,300,0.02,7000,1000,0.39,11,0.8251626666666667,17.983438084071004,587.3031489651518
117,1000,300,0.02,7000,1000,0.39,11,0.8431360000000001,0.24648385239970905,538.2288121981467
118,1000,300,0.02,7000,1000,0.39,11,0.8215680000000001,1.3556611877484412,590.6953941542442
119,1000,300,0.02,7000,1000,0.39,11,0.8,0.8626934824990447,596.6690150091792
120,1000,300,0.02,7000,1000,0.39,11,0.8359466666666667,3.697257794994945,564.7140391152411
121,1000,300,0.02,7000,1000,0.39,11,0.8035946666666667,1.4789031134983592,583.715711600781
122,1000,300,0.02,7000,1000,0.39,11,0.8359466666666667,5.792370528243446,580.0634206462445
123,1000,300,0.02,7000,1000,0.39,11,0.8287573333333333,0.8626934824990447,545.4637506823271
124,1000,300,0.02,7000,1000,0.39,11,0.8323520000000001,7.271273655240583,590.8167643312228
