,Renewable Invesment Cost,Battery Unitary Invesment Cost,Deep of Discharge,Battery Cycles,GenSet Unitary Invesment Cost,Generator Efficiency,Low Heating Value,Fuel Cost,HouseHolds,Renewable Energy Unit Total
117,1100,350,0.2,5500,1100,0.33,9.9,0.8431360000000001,0.41301060511639687,421.014096
118,1100,350,0.2,5500,1100,0.33,9.9,0.8215680000000001,9.38232788877878,609.167782
119,1100,350,0.2,5500,1100,0.33,9.9,0.8,1.4455371152751137,551.9827389999998
120,1100,350,0.2,5500,1100,0.33,9.9,0.8359466666666667,12.293589232766225,555.312182
121,1100,350,0.2,5500,1100,0.33,9.9,0.8035946666666667,3.490403036194131,544.5803139999998
122,1100,350,0.2,5500,1100,0.33,9.9,0.8359466666666667,30.056210652071197,616.3570709999998
123,1100,350,0.2,5500,1100,0.33,9.9,0.8287573333333333,2.4629585464785184,420.258571
124,1100,350,0.2,5500,1100,0.33,9.9,0.8323520000000001,26.396204330090274,581.1350370000001
125,1100,350,0.2,5500,1100,0.33,9.9,0.8071893333333334,6.551673981654151,524.7530000000002
126,1100,350,0.2,5500,1100,0.33,9.9,0.8107840000000001,3.6687309868546314,643.2065150000002
127,1100,350,0.2,5500,1100,0.33,9.9,0.8215680000000001,107.74508077964211,621.8796709999998
128,1100,350,0.2,5500,1100,0.33,9.9,0.8143786666666667,23.191163213695386,639.0429300000002
129,1100,350,0.2,5500,1100,0.33,9.9,0.8035946666666667,62.3833908514669,622.907076
130,1100,350,0.2,5500,1100,0.33,9.9,0.8035946666666667,64.82502968917387,634.6379559999998
131,1100,350,0.2,5500,1100,0.33,9.9,0.8179733333333333,8.56037229876114,646.597525
132,1100,350,0.2,5500,1100,0.33,9.9,0.8143786666666667,74.42856979463974,656.0328049999998
133,1100,350,0.2,5500,1100,0.33,9.9,0.8287573333333333,6.944638474425733,645.372144
134,1100,350,0.2,5500,1100,0.33,9.9,0.8035946666666667,17.99120563261656,601.786076
135,1100,350,0.2,5500,1100,0.33,9.9,0.8,6.319024134673557,600.241967
136,1100,350,0.2,5500,1100,0.33,9.9,0.8215680000000001,15.326682837150127,616.1363309999998
137,1100,350,0.2,5500,1100,0.33,9.9,0.8071893333333334,17.950831432064874,641.659531
138,1100,350,0.2,5500,1100,0.33,9.9,0.8071893333333334,30.958491691975546,627.222001
139,1100,350,0.2,5500,1100,0.33,9.9,0.8323520000000001,1.4294156311197752,419.486802
