,Total PV Energy
273,624.8991860000001
274,575.330571
275,564.1213349999999
276,571.5550999999999
277,467.98906700000003
278,581.924952
279,509.153299
280,595.484634
281,618.7854
282,535.481682
283,520.884861
284,580.98047
285,603.6342370000001
286,558.3697629999999
287,624.311316
288,437.774581
289,463.4801580000001
290,579.480693
291,625.2879300000001
292,641.9343950000001
293,641.9534440000001
294,642.794323
295,637.806315
296,618.8897410000001
297,641.3033320000001
298,645.443991
299,635.076187
300,624.772399
301,610.925992
302,635.018411
303,640.1764929999999
304,613.8922359999999
305,647.45348
306,643.6070739999999
307,599.2941609999999
308,636.372745
309,626.3571469999999
310,625.469331
311,415.121384
312,417.867874
313,596.2093940000001
314,593.2081139999999
315,573.4246119999999
316,628.288894
317,604.5713049999999
318,592.9822789999998
319,602.907365
320,592.9613690000001
321,568.023901
322,574.487754
323,621.014612
324,598.526399
325,656.599743
326,612.1135099999999
327,621.386567
328,612.3470710000001
329,609.513568
330,621.2172889999998
331,594.985033
332,567.544772
333,573.6975110000001
334,600.55898
335,621.8898620000001
336,469.45617799999997
337,646.235985
338,607.482427
339,608.409875
340,613.569045
341,466.53794200000004
342,472.39330000000007
343,476.132265
344,491.30253999999996
345,507.01016000000004
346,464.66154000000006
347,465.657807
348,465.36285100000003
349,465.705101
350,464.766842
351,465.47935899999993
352,465.352253
353,467.764164
354,504.899209
355,465.95750400000003
356,467.243197
357,471.491501
358,512.3753280000001
359,472.97180399999996
360,465.646391
361,511.381485
362,467.27475799999996
363,472.85000399999996
364,492.96466
365,453.59624
366,465.341294
367,497.84176
368,473.920199
369,514.876507
370,530.652208
371,597.506798
372,536.7230579999999
373,594.32873
374,539.809357
375,620.339143
376,468.34645700000004
377,623.6278090000001
378,641.6466829999998
379,628.0266809999998
380,642.6869029999999
381,643.357321
382,641.1735080000001
383,569.9417480000001
384,564.817857
385,575.6520260000001
386,618.0684809999999
387,630.4206499999999
388,642.7483700000001
389,607.7119090000001
390,585.3004980000001
391,411.78749300000004
392,432.358802
393,412.474819
394,411.74337999999995
395,411.69886699999995
396,427.291726
397,456.72551300000003
398,415.367454
399,415.37875199999996
400,418.25623500000006
401,435.43257400000005
402,421.127529
403,429.204882
404,414.79424599999993
405,531.807216
406,446.71991899999995
407,574.592688
408,554.819216
409,449.045547
410,509.96996599999994
411,540.135022
412,548.0561160000001
413,573.0632800000001
414,586.541768
415,567.461689
416,575.000463
417,519.506961
418,529.736179
419,550.580397
420,560.7879810000001
421,585.445411
422,622.644351
423,419.32374400000003
424,466.88059
425,453.151054
426,453.662959
427,447.54341700000003
428,610.496755
429,580.097747
430,419.098237
431,450.01655200000005
432,557.21261
433,567.324398
434,632.1022929999999
435,551.475866
436,621.328102
437,585.969724
438,551.032906
439,574.7579219999999
440,629.042309
441,620.539436
442,642.0780060000001
443,634.924124
444,625.003872
445,622.3379850000001
446,627.161481
447,633.6139109999999
448,621.7006349999999
449,634.8361600000001
450,622.3123630000001
451,625.4416289999999
452,614.4641009999999
453,625.682971
454,631.740836
455,621.946506
456,600.336954
457,646.807024
458,632.296063
459,639.414792
460,641.431958
461,622.3092809999999
462,621.203495
463,423.244012
464,420.509608
465,411.497228
466,413.281816
467,418.20829599999996
468,414.180974
469,416.651398
470,617.68461
471,588.569304
472,594.0427030000001
473,618.447025
474,628.929063
475,613.474566
476,582.190424
477,591.198542
478,598.588832
479,656.403931
480,617.1783320000001
481,646.457509
482,622.10998
483,646.435543
484,623.220729
485,618.038961
486,606.5618620000001
487,609.447258
488,623.0303240000001
489,605.368613
490,590.261479
491,608.9508989999999
492,591.5021810000001
493,610.3142159999999
494,645.459066
495,662.551174
496,577.820196
497,631.668549
498,589.5245889999999
499,618.266385
500,631.764356
501,610.893874
502,604.3034040000001
503,630.5512550000001
504,633.80891
505,622.0321630000001
506,609.2768560000001
507,589.3214100000001
508,608.219038
509,581.021594
510,623.125998
511,646.582597
512,639.323408
513,651.4528789999999
514,620.705637
515,634.8117779999999
516,637.441796
517,640.772072
518,473.71984000000003
519,508.84773600000005
520,510.29932
521,466.37950299999994
522,475.913923
523,465.56831900000003
524,472.13479899999993
525,465.592452
526,465.307888
527,509.200906
528,476.532988
529,463.93150999999995
530,499.27299800000003
531,472.627943
532,509.56116499999996
533,466.551045
534,465.314398
535,467.319535
536,499.293526
537,465.34091099999995
538,502.425123
539,476.04801799999996
540,467.374408
541,459.963793
542,480.967329
543,477.881169
544,462.41068899999993
545,574.496389
546,525.5346159999999
547,529.609931
548,574.486553
549,530.9589569999999
550,538.271474
551,613.6837380000001
552,586.9309949999999
553,624.806374
554,632.8663169999999
555,535.517455
556,623.0884890000001
557,654.9886650000001
558,624.7228960000001
559,579.8947360000001
560,585.566461
561,465.281492
562,587.740939
563,475.905011
564,459.558189
565,522.223943
566,471.1495049999999
567,508.668118
568,411.89592200000004
569,429.959835
570,412.45225400000004
571,415.353991
572,430.057478
573,434.629032
574,413.34633399999996
575,415.334038
576,412.942434
577,420.9787569999999
578,412.05751200000003
579,437.06114
580,412.73537600000003
581,415.147446
582,412.34298699999994
583,564.959073
584,536.816083
585,530.1048830000001
586,506.1940870000001
587,575.1753820000001
588,540.463203
589,512.3832540000001
590,462.719532
591,455.90110699999997
592,505.658547
593,579.24599
594,568.3050800000001
595,555.087901
596,566.960427
597,522.53869
598,468.82115899999997
599,452.144976
600,608.304829
601,622.4505539999999
602,447.767732
603,504.401572
604,588.863018
605,570.132785
606,452.490085
607,622.2233759999999
608,455.58644899999996
609,534.0716219999999
610,622.2077469999999
611,622.905797
612,590.214924
613,608.8910010000001
614,464.335353
615,450.84778700000004
616,440.2917929999999
617,459.92887399999995
618,471.73896700000006
619,446.459992
620,627.812437
621,443.7218480000001
622,609.62075
623,592.963816
624,419.603778
625,627.160502
626,624.9256089999999
627,623.5795919999998
628,626.998066
629,626.1397550000002
630,623.7014700000001
631,642.5025159999999
632,634.41037
633,622.391733
634,626.104709
635,641.7617560000001
636,625.420767
637,627.9218659999999
638,599.2435790000001
639,638.307742
640,634.1714290000001
641,621.746678
642,641.5610290000001
643,595.02699
