,FinalElecCode2012,Demand_Name2025,Elevation,HouseHolds,LCOE_SHS2025,LCOE_MG_Hybrid_LowLands2025,LCOE_MG_Hybrid_HighLands2025,LCOE_Grid2025,MinimumOverall2025,MinimumOverallLCOE2025,NewConnections2025,PVcapacity2025,GenSetcapacity2025,Batterycapacity2025,NewCapacity2025,NPC2025,InvestmentCapita2025,InvestmentCost2025,MinGridDist2025,Pop2025,ElecPopCalib,X_deg,Y_deg
16516,SA_PV2012,Highlands,3898,67.67816069088921,99.0,99.0,0.5683281,0.37450784,Grid2025,0.37450784,231.398,0.0,0.0,0.0,13.043523,124459.555,428.46826,99146.7,0.011892728500000001,238.331,6.932993,-66.58755,-17.903105
16548,Non,Lowlands,274,77.0433506976245,99.0,0.61096996,99.0,0.49157208,Grid2025,0.49157208,263.41846,0.0,0.0,0.0,11.791657,153018.88,476.3353,125475.51,2.8063583,263.41846,0.0,-65.00751,-17.039673
16577,SA_Diesel2012,Highlands,2519,105.5589051532825,99.0,99.0,0.50148016,0.32547215,Grid2025,0.32547215,360.91582999999997,0.0,0.0,0.0,19.025156,163450.64,349.4271,126113.77,0.06790806,367.94962000000004,7.033773399999999,-65.56784,-18.438010000000002
16589,SA_PV2012,Highlands,2595,78.49817644733841,99.0,99.0,0.5392186999999999,0.36034676,Grid2025,0.36034676,268.39264,0.0,0.0,0.0,14.738667999999999,137237.38,403.61533,108327.39,0.21652353,271.78094,3.3883047,-64.68708000000001,-19.098497000000002
16593,SA_PV2012,Highlands,2433,67.45844214120393,99.0,99.0,0.57337403,0.42740032,Grid2025,0.42740032,230.64676,0.0,0.0,0.0,13.009184,141616.12,498.14227,114894.9,1.8313615,234.14975,3.502986,-64.35245,-19.943635999999998
16603,SA_Diesel2012,Highlands,2531,127.36464475321115,99.0,99.0,0.47924143,0.41887920000000006,Grid2025,0.41887920000000006,435.4717,0.0,0.0,0.0,22.50625,251318.39,462.85373,201559.7,6.643484599999999,459.93699999999995,24.465298,-64.74623000000001,-20.52779
16607,SA_PV2012,Highlands,2686,67.27618955182484,99.0,99.0,0.5741744000000001,0.51805425,Grid2025,0.51805425,230.02362000000002,0.0,0.0,0.0,12.980701,171230.28,617.4681,142032.23,3.8350434,250.87472999999997,20.851107,-65.35410999999999,-18.487612
16615,SA_Diesel2012,Highlands,2903,140.07776601328717,99.0,99.0,0.47302178,0.32758883,Grid2025,0.32758883,478.93906,0.0,0.0,0.0,24.529028,215221.64,345.84314,165637.78,1.4347417,531.0182,52.079113,-64.75905999999999,-20.640242
16617,SA_PV2012,Highlands,2190,59.345356227732296,99.0,99.0,0.6090310999999999,0.41496778,Grid2025,0.41496778,202.90735,0.0,0.0,0.0,11.742082,122399.66,488.90347,99202.11,0.018590403999999998,255.05597000000003,52.148617,-64.356224,-19.116734
16624,SA_PV2012,Highlands,1461,62.827910003452814,99.0,99.0,0.61243135,0.40654440000000003,Grid2025,0.40654440000000003,214.81453,0.0,0.0,0.0,12.285891000000001,126263.945,474.48682,101926.664,0.0952566,263.41846,48.603928,-64.19805,-19.717146
16626,SA_PV2012,Highlands,1923,71.1322551563985,99.0,99.0,0.5560439,0.36913797,Grid2025,0.36913797,243.20787,0.0,0.0,0.0,13.583715,128392.6,419.1567,101942.21,0.09414895599999999,246.69348,3.48561,-64.3583,-19.646835
16629,SA_PV2012,Highlands,2163,82.12116921072095,99.0,99.0,0.534412,0.3503881,Grid2025,0.3503881,280.78,0.0,0.0,0.0,15.308570999999999,139137.2,389.0201,109229.07,0.029191243,284.32468,3.544688,-64.634514,-19.086585999999997
16631,SA_PV2012,Highlands,2418,61.331693640967806,99.0,99.0,0.5769464,0.4181584,Grid2025,0.4181584,209.69884,0.0,0.0,0.0,12.052264,127065.414,491.2207,103008.41,1.0156626,213.24352000000002,3.544688,-65.3131,-18.58072
16632,SA_PV2012,Highlands,2519,53.01427621712707,99.0,99.0,0.6171196999999999,0.42739564,Grid2025,0.42739564,181.2608,0.0,0.0,0.0,10.752203,113931.54,512.66766,92926.55,0.20996220000000004,209.06226999999998,27.801476,-64.66968,-18.794538
16634,SA_PV2012,Highlands,2803,62.58712891223972,99.0,99.0,0.58186233,0.43652904,Grid2025,0.43652904,213.99129,0.0,0.0,0.0,12.248292999999999,135105.2,514.3756,110071.89,1.6977017,217.42476000000002,3.4334822,-65.515915,-18.47925
16661,SA_PV2012,Highlands,3098,109.66605686589493,99.0,99.0,0.49854496,0.45116785,Grid2025,0.45116785,374.95856000000003,0.0,0.0,0.0,19.680418,234883.86,508.15695,190537.81,6.833641,388.85582999999997,13.897263,-67.54409,-16.70865
16725,SA_PV2012,Lowlands,611,64.44175202257523,99.0,0.6498739,99.0,0.45838544,Grid2025,0.45838544,220.33241,0.0,0.0,0.0,10.283711,121506.195,450.3089,99217.65,0.6109180000000001,234.14975,13.817332999999998,-67.66919,-15.741729000000001
16796,Non,Highlands,3984,51.36223379841635,99.0,99.0,0.6055709,0.45151287,Grid2025,0.45151287,175.6123,0.0,0.0,0.0,10.493288,117015.62,547.40674,96131.37,1.1607056,175.6123,0.0,-65.74733,-19.022160999999997
16807,SA_PV2012,Highlands,3767,82.9428381762768,99.0,99.0,0.588065,0.42287117,Grid2025,0.42287117,283.58936,0.0,0.0,0.0,15.438003,169477.94,482.38535,136799.36,0.75032306,464.11825999999996,180.52888000000002,-67.79145,-18.694364999999998
16812,SA_PV2012,Highlands,3840,96.00957074464323,99.0,99.0,0.5209696,0.33996704,Grid2025,0.33996704,328.26575,0.0,0.0,0.0,17.505278,156171.95,370.51874,121628.62,0.24326037,338.68088,10.415128,-67.924995,-17.818904999999997
16821,SA_PV2012,Highlands,3772,98.16322144642591,99.0,99.0,0.55686283,0.48629802,Grid2025,0.48629802,335.6293,0.0,0.0,0.0,17.847494,228089.0,556.9731,186936.48,5.368348999999999,505.9307,170.3014,-67.63067,-18.2564
16885,Non,Highlands,4220,73.37461970784511,99.0,99.0,0.5482832,0.4364164000000001,Grid2025,0.4364164000000001,250.87472999999997,0.0,0.0,0.0,13.934832,156181.52,505.61742999999996,126846.64,2.7322066,250.87472999999997,0.0,-65.767876,-18.975237
16886,SA_PV2012,Highlands,2597,76.2497134658615,99.0,99.0,0.56595176,0.36396635,Grid2025,0.36396635,260.70496,0.0,0.0,0.0,14.385618,134946.12,409.47177,106751.32,0.16909872,267.5997,6.894766000000001,-65.95435,-18.29405
16890,SA_PV2012,Highlands,3445,95.02162505985343,99.0,99.0,0.51775265,0.4762605,Grid2025,0.4762605,324.88788,0.0,0.0,0.0,17.34842,216671.66,545.4415,177207.34,6.448686,338.68088,13.793007000000001,-65.65253,-19.04216
16892,SA_PV2012,Highlands,3065,62.58712891223972,99.0,99.0,0.5864104,0.40576768,Grid2025,0.40576768,213.99129,0.0,0.0,0.0,12.248292999999999,125584.59,473.66967999999997,101361.18,0.72984535,217.42476000000002,3.4334822,-65.54818,-18.525373000000002
16936,SA_PV2012,Highlands,4016,51.57991956753403,99.0,99.0,0.6193161,0.42279646,Grid2025,0.42279646,176.3566,0.0,0.0,0.0,10.527426,109986.086,508.34152,89649.38,0.36379924,179.79355,3.4369574000000003,-66.58796,-18.128477
16969,Non,Highlands,3597,59.922606088403214,99.0,99.0,0.5831225999999999,0.45067954,Grid2025,0.45067954,204.88103,0.0,0.0,0.0,11.8322315,134099.86,535.7869999999999,109772.59,1.9413506999999999,204.88103,0.0,-66.43422,-18.119073999999998
16970,Non,Highlands,2851,50.13932345874071,99.0,99.0,0.61576945,0.45532330000000004,Grid2025,0.45532330000000004,171.43106,0.0,0.0,0.0,10.301378999999999,115506.21,554.3541,95033.516,1.1462325,171.43106,0.0,-65.73066,-18.663535999999997
