,FinalElecCode2012,Demand_Name2025,Elevation,HouseHolds,LCOE_SHS2025,LCOE_MG_Hybrid_LowLands2025,LCOE_MG_Hybrid_HighLands2025,LCOE_Grid2025,MinimumOverall2025,MinimumOverallLCOE2025,NewConnections2025,PVcapacity2025,GenSetcapacity2025,Batterycapacity2025,NewCapacity2025,NPC2025,InvestmentCapita2025,InvestmentCost2025,MinGridDist2025,X_deg,Y_deg
245,SA_Diesel2012,SHS,173,15.085901738332696,0.35,99.0,99.0,99.0,SHS2025,0.35,51.580116,6.034361,0.0,16.594492000000002,22.628853,24001.67,378.17035,19506.07,0.0,-66.45597,-12.102179
246,SA_PV2012,SHS,157,3.0653365633353733,0.35,99.0,99.0,99.0,SHS2025,0.35,10.480674,1.2261347,0.0,3.3718703000000003,4.598005000000001,4876.9507,378.17035,3963.4802,0.0,-64.74355,-15.106537
247,Non,SHS,1042,4.891641314831258,0.35,99.0,99.0,99.0,SHS2025,0.35,16.724981,1.9566566000000003,0.0,5.3808055,7.3374619999999995,7782.6016,378.17035,6324.892,0.0,-67.05409,-15.310163000000001
248,Non,SHS,179,2.4458206571231544,0.35,99.0,99.0,99.0,SHS2025,0.35,8.362491,0.9783283000000002,0.0,2.6904027000000004,3.6687309999999997,3891.3008,378.17035,3162.446,0.0,-65.19961500000001,-15.596867999999999
251,SA_PV2012,SHS,272,47.01257498183248,0.35,99.0,99.0,99.0,SHS2025,0.35,160.74042,18.80503,0.0,51.713833,70.51886,74797.01,378.17035,60787.258,0.0,-65.20369000000001,-17.042932999999998
252,SA_PV2012,SHS,3668,4.497801408885327,0.35,99.0,99.0,99.0,SHS2025,0.35,15.378407000000001,1.7991205000000001,0.0,4.947582,6.746702,7156.0019999999995,378.17035,5815.656999999999,0.0,-66.382675,-16.920694
253,Non,SHS,3235,17.12074460044703,0.35,99.0,99.0,99.0,SHS2025,0.35,58.537437,6.848298,0.0,18.832819,25.681116,27239.105,378.17035,22137.123,0.0,-66.640686,-17.494085000000002
256,SA_Diesel2012,SHS,2529,4.081741590216176,0.35,99.0,99.0,99.0,SHS2025,0.35,13.955858,1.6326966,0.0,4.489916,6.1226125,6494.0509999999995,378.17035,5277.691999999999,0.0,-65.28213000000001,-17.767878
258,Non,SHS,419,30.572758228663183,0.35,99.0,99.0,99.0,SHS2025,0.35,104.531136,12.229103,0.0,33.630035,45.859140000000004,48641.258,378.17035,39530.58,0.0,-64.30171999999999,-17.354269
260,SA_PV2012,SHS,852,5.549357633500711,0.35,99.0,99.0,99.0,SHS2025,0.35,18.973776,2.2197430000000002,0.0,6.1042933,8.324036999999999,8829.028,378.17035,7175.3193,0.0,-65.24745,-17.193975
263,Non,SHS,3486,11.006192957639144,0.35,99.0,99.0,99.0,SHS2025,0.35,37.631209999999996,4.4024773,0.0,12.1068125,16.509289000000003,17510.854,378.17035,14231.008,0.0,-66.82515,-17.333109
264,Non,SHS,615,29.34984788898755,0.35,99.0,99.0,99.0,SHS2025,0.35,100.34989,11.739939,0.0,32.284832,44.024772999999996,46695.61,378.17035,37949.35,0.0,-64.44651999999999,-17.340189000000002
268,Non,SHS,3361,15.897834272470405,0.35,99.0,99.0,99.0,SHS2025,0.35,54.356190000000005,6.3591337,0.0,17.487617,23.846752,25293.455,378.17035,20555.9,0.0,-64.68074,-19.65051
272,Non,SHS,3834,11.006192957639144,0.35,99.0,99.0,99.0,SHS2025,0.35,37.631209999999996,4.4024773,0.0,12.1068125,16.509289000000003,17510.854,378.17035,14231.008,0.0,-67.93108000000001,-17.720692
277,SA_Diesel2012,SHS,1076,46.71733102040707,0.35,99.0,99.0,99.0,SHS2025,0.35,159.73096,18.686932000000002,0.0,51.389065,70.07600000000001,74327.27,378.17035,60405.508,0.0,-68.01751999999999,-15.647172
279,Non,SHS,2734,12.229103285615768,0.35,99.0,99.0,99.0,SHS2025,0.35,41.812453999999995,4.891641,0.0,13.452014000000002,18.343655,19456.504,378.17035,15812.23,0.0,-68.444885,-15.69466
287,Non,SHS,4267,12.229103285615768,0.35,99.0,99.0,99.0,SHS2025,0.35,41.812453999999995,4.891641,0.0,13.452014000000002,18.343655,19456.504,378.17035,15812.23,0.0,-69.464775,-17.283894
291,SA_PV2012,SHS,3710,15.500945152386768,0.35,99.0,99.0,99.0,SHS2025,0.35,52.999190000000006,6.200378,0.0,17.051039000000003,23.251417,24662.004,378.17035,20042.723,0.0,-67.31204,-18.222939999999998
292,Non,SHS,3730,1.2229103285615772,0.35,99.0,99.0,99.0,SHS2025,0.35,4.1812453000000005,0.48916414,0.0,1.3452013999999999,1.8343654999999999,1945.6504,378.17035,1581.223,0.0,-67.788574,-18.752003
293,SA_PV2012,SHS,3726,20.392586467218024,0.35,99.0,99.0,99.0,SHS2025,0.35,69.724174,8.157035,0.0,22.431845000000003,30.58888,32444.605,378.17035,26367.615,0.0,-66.86166999999999,-19.322832000000002
294,Non,SHS,3756,1.2229103285615772,0.35,99.0,99.0,99.0,SHS2025,0.35,4.1812453000000005,0.48916414,0.0,1.3452013999999999,1.8343654999999999,1945.6504,378.17035,1581.223,0.0,-67.69747,-18.8506
295,SA_PV2012,SHS,3712,26.093111100879394,0.35,99.0,99.0,99.0,SHS2025,0.35,89.2148,10.437244,0.0,28.702423,39.139668,41514.14,378.17035,33738.395,0.0,-67.12773,-18.889592999999998
