,FinalElecCode2012,Demand_Name2025,Elevation,HouseHolds,LCOE_SHS2025,LCOE_MG_Hybrid_LowLands2025,LCOE_MG_Hybrid_HighLands2025,LCOE_Grid2025,MinimumOverall2025,MinimumOverallLCOE2025,NewConnections2025,PVcapacity2025,GenSetcapacity2025,Batterycapacity2025,NewCapacity2025,NPC2025,InvestmentCapita2025,InvestmentCost2025,MinGridDist2025,Pop2025,ElecPopCalib,X_deg,Y_deg
55,Non,SHS,3727,19.56656525640028,0.36,99.0,99.0,99.0,SHS2025,0.36,66.899925,9.00062,0.0,23.479877,32.4805,31952.201,387.82202,25945.266,0.0,66.899925,0.0,-67.67928,-17.985236999999998
56,SA_Diesel2012,SHS,4431,2.0489315387943705,0.36,99.0,99.0,99.0,SHS2025,0.36,7.005489999999999,0.9425084999999999,0.0,2.4587178,3.4012263,3345.9053,387.82202,2716.8833,0.0,20.906226999999998,13.900738,-68.55126,-15.660206
57,Non,SHS,1133,3.668730986854632,0.36,99.0,99.0,99.0,SHS2025,0.36,12.543736,1.6876162000000001,0.0,4.4024773,6.090093599999999,5991.0376,387.82202,4864.7373,0.0,12.543736,0.0,-68.52629,-14.495603
58,SA_Diesel2012,SHS,154,1.2390318147642403,0.36,99.0,99.0,99.0,SHS2025,0.36,4.2363663,0.56995463,0.0,1.4868382,2.0567927,2023.339,387.82202,1642.9562,0.0,25.087473000000003,20.851107,-62.165985,-13.139012
59,SA_PV2012,SHS,4086,5.306684728885331,0.36,99.0,99.0,99.0,SHS2025,0.36,18.144054,2.441075,0.0,6.368021499999999,8.809096,8665.815999999999,387.82202,7036.664000000001,0.0,25.087473000000003,6.9434185,-66.752815,-17.882182999999998
61,Non,SHS,3769,20.78947558730166,0.36,99.0,99.0,99.0,SHS2025,0.36,71.08117,9.563158999999999,0.0,24.947370000000003,34.510529999999996,33949.215,387.82202,27566.843999999997,0.0,71.08117,0.0,-67.37864,-18.994013
62,SA_PV2012,SHS,3702,29.380058043388466,0.36,99.0,99.0,99.0,SHS2025,0.36,100.453186,13.514826999999999,0.0,35.25607,48.770897,47977.637,387.82202,38957.957,0.0,142.16234,41.709164,-67.08051999999999,-18.3626
65,SA_PV2012,SHS,4195,12.52028163794006,0.36,99.0,99.0,99.0,SHS2025,0.36,42.80802,5.7593293,0.0,15.024338,20.783667,20445.62,387.82202,16601.893,0.0,150.52483999999998,107.71681000000001,-68.83816,-18.005245000000002
69,Non,SHS,539,2.4458206571231544,0.36,99.0,99.0,99.0,SHS2025,0.36,8.362491,1.1250775,0.0,2.9349847000000002,4.0600624,3994.0251,387.82202,3243.1582,0.0,8.362491,0.0,-62.555209999999995,-16.312777
70,SA_PV2012,SHS,4241,7.168281665461872,0.36,99.0,99.0,99.0,SHS2025,0.36,24.50903,3.2974095,0.0,8.601938,11.899347,11705.803999999998,387.82202,9505.142,0.0,62.718680000000006,38.209652,-68.406425,-18.080692000000003
72,Non,SHS,472,8.56037229876114,0.36,99.0,99.0,99.0,SHS2025,0.36,29.268719,3.9377712999999996,0.0,10.272447,14.210218,13979.088,387.82202,11351.053999999998,0.0,29.268719,0.0,-67.10855,-15.28597
73,SA_PV2012,SHS,159,10.399749319982185,0.36,99.0,99.0,99.0,SHS2025,0.36,35.55772,4.7838845,0.0,12.479699,17.263583999999998,16982.791,387.82202,13790.067,0.0,45.993702,10.435979,-65.66795,-15.044344
74,SA_Diesel2012,SHS,161,4.497801408885327,0.36,99.0,99.0,99.0,SHS2025,0.36,15.378407000000001,2.0689886000000004,0.0,5.3973618,7.466350599999999,7344.9097,387.82202,5964.0845,0.0,29.268719,13.890312,-62.930313,-13.329918
75,SA_Diesel2012,SHS,136,6.525529436354329,0.36,99.0,99.0,99.0,SHS2025,0.36,22.3114,3.0017436,0.0,7.8306355,10.832379,10656.188999999998,387.82202,8652.851999999999,0.0,29.268719,6.9573193,-65.726265,-11.201791
76,SA_Diesel2012,SHS,228,7.750472577655759,0.36,99.0,99.0,99.0,SHS2025,0.36,26.499596,3.5652175,0.0,9.300567,12.865785,12656.521,387.82202,10277.127,0.0,33.449963000000004,6.950369,-67.169754,-14.610926999999998
77,SA_PV2012,SHS,153,44.738701867137735,0.36,99.0,99.0,99.0,SHS2025,0.36,152.96584,20.579803,0.0,53.686443000000004,74.26624,73058.3,387.82202,59323.52,0.0,330.3184,177.35255,-64.896225,-14.712960999999998
78,SA_Diesel2012,SHS,164,22.489882472224735,0.36,99.0,99.0,99.0,SHS2025,0.36,76.89503,10.3453455,0.0,26.987859999999998,37.333206,36725.977,387.82202,29821.584,0.0,167.24982,90.3548,-64.80036,-12.49123
79,Non,SHS,376,17.12074460044703,0.36,99.0,99.0,99.0,SHS2025,0.36,58.537437,7.875542599999999,0.0,20.544893,28.420437,27958.176,387.82202,22702.107000000004,0.0,58.537437,0.0,-66.783936,-15.260724
80,SA_PV2012,SHS,158,0.20650530255819846,0.36,99.0,99.0,99.0,SHS2025,0.36,0.70606107,0.09499244,0.0,0.24780637,0.34279879999999996,337.22314,387.82202,273.82602,0.0,4.1812453000000005,3.4751844,-64.08949,-12.828028999999999
81,SA_PV2012,SHS,138,0.20650530255819846,0.36,99.0,99.0,99.0,SHS2025,0.36,0.70606107,0.09499244,0.0,0.24780637,0.34279879999999996,337.22314,387.82202,273.82602,0.0,4.1812453000000005,3.4751844,-64.13547,-13.191707000000001
82,SA_Diesel2012,SHS,148,5.92010220535977,0.36,99.0,99.0,99.0,SHS2025,0.36,20.241386,2.723247,0.0,7.104122599999999,9.82737,9667.527,387.82202,7850.0557,0.0,37.631209999999996,17.389822,-64.659065,-14.288666000000001
83,Non,SHS,167,1.2229103285615772,0.36,99.0,99.0,99.0,SHS2025,0.36,4.1812453000000005,0.56253874,0.0,1.4674923,2.0300312,1997.0126,387.82202,1621.5791,0.0,4.1812453000000005,0.0,-66.22957,-11.838639
84,SA_Diesel2012,SHS,155,0.20650530255819846,0.36,99.0,99.0,99.0,SHS2025,0.36,0.70606107,0.09499244,0.0,0.24780637,0.34279879999999996,337.22314,387.82202,273.82602,0.0,4.1812453000000005,3.4751844,-64.8861,-12.784933
87,SA_PV2012,SHS,3591,5.098146616512031,0.36,99.0,99.0,99.0,SHS2025,0.36,17.431044,2.3451473999999997,0.0,6.117776,8.462923,8325.273000000001,387.82202,6760.1426,0.0,20.906226999999998,3.4751844,-66.70929,-17.487574
91,Non,SHS,173,15.897834272470405,0.36,99.0,99.0,99.0,SHS2025,0.36,54.356190000000005,7.313003500000001,0.0,19.0774,26.390406,25961.164,387.82202,21080.527000000002,0.0,54.356190000000005,0.0,-65.17678000000001,-15.730138
94,Non,SHS,2957,7.337461970784513,0.36,99.0,99.0,99.0,SHS2025,0.36,25.087473000000003,3.3752324999999996,0.0,8.804955,12.180187,11982.075,387.82202,9729.475,0.0,25.087473000000003,0.0,-66.508354,-17.497953
98,Non,SHS,2594,1.2229103285615772,0.36,99.0,99.0,99.0,SHS2025,0.36,4.1812453000000005,0.56253874,0.0,1.4674923,2.0300312,1997.0126,387.82202,1621.5791,0.0,4.1812453000000005,0.0,-65.091576,-18.584626999999998
99,Non,SHS,226,13.452013613592394,0.36,99.0,99.0,99.0,SHS2025,0.36,45.993702,6.1879263,0.0,16.142416,22.330343,21967.139,387.82202,17837.37,0.0,45.993702,0.0,-64.49683,-17.150394
100,SA_Diesel2012,Highlands,3326,91.3781632285223,99.0,99.0,0.5265666,0.41986999999999997,Grid2025,0.41986999999999997,312.43054,0.0,0.0,0.0,16.770681,184157.22,474.6404,148292.16,3.2359035,347.04337000000004,34.612835,-65.06041,-20.192556
101,SA_PV2012,Highlands,1041,68.11847325754199,99.0,99.0,0.58514804,0.41148379999999996,Grid2025,0.41148379999999996,232.90347000000003,0.0,0.0,0.0,13.112347,137560.19,476.72305,111030.45,0.88817745,267.5997,34.69624,-67.44230999999999,-15.767920499999999
107,SA_PV2012,Highlands,4120,97.97108680927872,99.0,99.0,0.54779714,0.44349492,Grid2025,0.44349492,334.97235,0.0,0.0,0.0,17.81695,207630.89,502.3176,168262.52,3.5926852,480.84323,145.87086000000002,-68.31837,-16.391195
110,SA_PV2012,SHS,4199,3.0653365633353733,0.36,99.0,99.0,99.0,SHS2025,0.36,10.480674,1.4100548000000002,0.0,3.6784038999999997,5.0884585,5005.695,387.82202,4064.6362,0.0,20.906226999999998,10.425553,-69.24486999999999,-17.25506
113,SA_Diesel2012,SHS,3096,7.750472577655759,0.36,99.0,99.0,99.0,SHS2025,0.36,26.499596,3.5652175,0.0,9.300567,12.865785,12656.521,387.82202,10277.127,0.0,33.449963000000004,6.950369,-68.92731500000001,-15.1869
116,Non,SHS,308,17.12074460044703,0.36,99.0,99.0,99.0,SHS2025,0.36,58.537437,7.875542599999999,0.0,20.544893,28.420437,27958.176,387.82202,22702.107000000004,0.0,58.537437,0.0,-67.96678,-14.016306
117,SA_Diesel2012,SHS,226,0.4130106051163969,0.36,99.0,99.0,99.0,SHS2025,0.36,1.4121221000000002,0.18998487,0.0,0.49561274,0.6855975999999999,674.4463,387.82202,547.65204,0.0,8.362491,6.950369,-67.936806,-12.004224
123,SA_Diesel2012,SHS,169,2.4629585464785184,0.36,99.0,99.0,99.0,SHS2025,0.36,8.421087,1.1329608999999998,0.0,2.9555502000000002,4.0885110000000005,4022.0112,387.82202,3265.883,0.0,29.268719,20.847631,-68.222916,-12.117919
126,Non,SHS,3729,3.668730986854632,0.36,99.0,99.0,99.0,SHS2025,0.36,12.543736,1.6876162000000001,0.0,4.4024773,6.090093599999999,5991.0376,387.82202,4864.7373,0.0,12.543736,0.0,-67.48653399999999,-19.010338
131,Non,SHS,4126,8.56037229876114,0.36,99.0,99.0,99.0,SHS2025,0.36,29.268719,3.9377712999999996,0.0,10.272447,14.210218,13979.088,387.82202,11351.053999999998,0.0,29.268719,0.0,-68.75649,-19.012922
133,SA_PV2012,SHS,3878,6.944638474425732,0.36,99.0,99.0,99.0,SHS2025,0.36,23.744370999999997,3.1945335999999998,0.0,8.333566000000001,11.5281,11340.595,387.82202,9208.591,0.0,37.631209999999996,13.886837,-67.186485,-19.413685
137,SA_PV2012,SHS,3819,17.950831432064874,0.36,99.0,99.0,99.0,SHS2025,0.36,61.37558000000001,8.257382000000002,0.0,21.540998000000002,29.798379999999998,29313.707000000002,387.82202,23802.803,0.0,75.26241999999999,13.886837,-67.62215400000001,-18.83829
139,SA_Diesel2012,SHS,163,1.4294156311197752,0.36,99.0,99.0,99.0,SHS2025,0.36,4.8873067,0.6575312,0.0,1.7152988,2.37283,2334.2358,387.82202,1895.4052,0.0,8.362491,3.4751844,-67.368484,-11.185489
140,SA_PV2012,SHS,209,8.766877603659138,0.36,99.0,99.0,99.0,SHS2025,0.36,29.97478,4.032763500000001,0.0,10.520253,14.553017,14316.312,387.82202,11624.88,0.0,33.449963000000004,3.4751844,-68.06904,-11.213944999999999
141,Non,SHS,171,8.56037229876114,0.36,99.0,99.0,99.0,SHS2025,0.36,29.268719,3.9377712999999996,0.0,10.272447,14.210218,13979.088,387.82202,11351.053999999998,0.0,29.268719,0.0,-66.55656,-10.672464
142,SA_Diesel2012,SHS,153,28.54590560559427,0.36,99.0,99.0,99.0,SHS2025,0.36,97.601135,13.131117000000001,0.0,34.255085,47.386204,46615.465,387.82202,37851.87,0.0,125.43736000000001,27.836227,-65.4583,-10.219327999999999
143,SA_Diesel2012,SHS,161,32.63185381360831,0.36,99.0,99.0,99.0,SHS2025,0.36,111.57138,15.010653,0.0,39.158226,54.168877,53287.816,387.82202,43269.84,0.0,125.43736000000001,13.865986,-66.94923,-11.18962
