,FinalElecCode2012,Demand_Name2025,Elevation,HouseHolds,LCOE_SA_PV_2025,LCOE_MG_PV_2025,LCOE_MG_Diesel_2025,LCOE_Grid2025,MinimumOverall2025,MinimumOverallLCOE2025,NewConnections2025,NewCapacity2025,NPC2025,InvestmentCapita2025,InvestmentCost2025,MinGridDist2025,X_deg,Y_deg
7174,SA_PV2012,SHS,213,47.720663745975415,0.48997965,99.0,99.0,99.0,SA_PV_2025,0.48997965,163.16144,16.360104,102216.28,601.24255,98099.6,0.0,-64.05848,-16.607897
7176,SA_PV2012,SHS,422,16.110438004473902,0.48031422,99.0,99.0,99.0,SA_PV_2025,0.48031422,55.083103,5.4142003,33827.38,589.3823,32465.007999999998,0.0,-61.080543999999996,-16.661917000000003
7178,SA_Diesel2012,SHS,399,15.126134948028598,0.55234385,99.0,99.0,99.0,SA_PV_2025,0.55234385,51.717678,5.1276589999999995,36523.555,677.7682,35052.598,0.0,-61.04744300000001,-16.33275
7179,MG_Diesel2012,SHS,1698,42.415136443270825,0.46174145,99.0,99.0,99.0,SA_PV_2025,0.46174145,145.02135,13.703176500000001,85616.07,566.5921,82167.945,0.0,-63.85728,-18.235294
7180,Non,SHS,214,8.56037229876114,0.48438679999999995,99.0,99.0,99.0,SA_PV_2025,0.48438679999999995,29.268719,2.901259,18126.773,594.3797,17396.732,0.0,-63.861534,-16.678865
7181,MG_Diesel2012,SHS,1348,22.677076060773736,0.52922386,99.0,99.0,0.4741059,Grid2025,0.4741059,77.53506,3.6117904000000003,47000.01,491.75946,38128.598,0.18387415,-63.74895,-18.212032
7182,SA_PV2012,SHS,426,36.37116916418981,0.5521489,99.0,99.0,99.0,SA_PV_2025,0.5521489,124.356445,12.325232000000002,87790.8,677.52893,84255.086,0.0,-64.01031,-17.447070999999998
7183,SA_PV2012,SHS,226,28.325311622846343,0.48907799999999996,99.0,99.0,99.0,SA_PV_2025,0.48907799999999996,96.84691,9.692913,60560.348,600.1361,58121.33,0.0,-64.049904,-16.776346
7184,SA_PV2012,SHS,480,37.91414480043698,0.473426,99.0,99.0,99.0,SA_PV_2025,0.473426,129.63203000000001,12.558995,78467.336,580.92993,75307.125,0.0,-63.48243299999999,-17.802984
7186,Non,SHS,251,4.891641314831258,0.47366932,99.0,99.0,99.0,SA_PV_2025,0.47366932,16.724981,1.6211805000000001,10128.973,581.2285,9721.036,0.0,-62.56064,-16.905447
7188,SA_Diesel2012,SHS,243,42.01316527525143,0.48598498,99.0,99.0,99.0,SA_PV_2025,0.48598498,143.64696,14.285972000000001,89257.31,596.3407599999999,85662.54,0.0,-63.959922999999996,-16.959970000000002
7189,SA_Diesel2012,SHS,226,2.653342365466329,0.49505377,99.0,99.0,99.0,SA_PV_2025,0.49505377,9.072027,0.919067,5742.2383,607.4689,5510.974,0.0,-64.320274,-17.025285999999998
7190,SA_Diesel2012,Lowlands,211,68.31467349209132,99.0,0.6091249,0.59563434,99.0,MG_Diesel_2025,0.59563434,233.5743,11.875672,166346.62,390.61588,91237.83,0.0,-64.05521999999999,-16.648031
7192,Non,SHS,223,22.012385915278287,0.48065755,99.0,99.0,99.0,SA_PV_2025,0.48065755,75.26241999999999,7.402943,46252.844000000005,589.8036,44390.047,0.0,-63.19315,-16.291363
7194,SA_Diesel2012,SHS,2292,11.417170751185589,0.44365272,99.0,99.0,99.0,SA_PV_2025,0.44365272,39.03638,3.5440772000000003,22143.037,544.3959,21251.244,0.0,-64.24721,-18.708363000000002
7195,Non,SHS,4428,11.006192957639144,0.38516128,99.0,99.0,99.0,SA_PV_2025,0.38516128,37.631209999999996,2.9660692,18531.701,472.62237999999996,17785.352,0.0,-69.42161999999999,-17.151695
7196,SA_PV2012,SHS,2079,43.02231450061409,0.46488968,99.0,99.0,99.0,SA_PV_2025,0.46488968,147.09734,13.994107000000001,87433.77,570.45526,83912.445,0.0,-63.866592000000004,-18.135542
7197,SA_PV2012,SHS,1789,14.690029024618983,0.4434331,99.0,99.0,99.0,SA_PV_2025,0.4434331,50.226593,4.557769,28476.48,544.12634,27329.612999999998,0.0,-64.17225,-18.870756
7198,SA_Diesel2012,Lowlands,242,114.57686886702778,99.0,0.53059787,0.51216143,0.3659485,Grid2025,0.3659485,391.74908,16.355733999999998,164282.05,327.34955,128238.88,0.07878442,-63.78099399999999,-16.947454
7199,SA_PV2012,Lowlands,478,93.21754023219485,99.0,0.55526775,0.5352756,99.0,MG_Diesel_2025,0.5352756,318.71954,15.758852,198370.95,331.25684,105578.02,0.0,-61.901832999999996,-16.330088
7200,MG_Diesel2012,SHS,1443,3.097579536910602,0.6889541,99.0,99.0,0.63594854,Grid2025,0.63594854,10.590916,0.4933532,8611.523000000001,681.0837,7213.3003,0.06998739999999999,-64.61623399999999,-18.038918
7201,SA_Diesel2012,SHS,342,13.079236231333285,0.55598253,99.0,99.0,99.0,SA_PV_2025,0.55598253,44.71914,4.462982,31789.162,682.23315,30508.879,0.0,-61.498219999999996,-15.774212
7202,SA_PV2012,SHS,2423,9.610036706464523,0.5112918,99.0,99.0,99.0,SA_PV_2025,0.5112918,32.857620000000004,3.0156124,21479.76,627.39417,20614.68,0.0,-64.343315,-18.370813000000002
7203,MG_Diesel2012,SHS,121,16.128451310805794,0.5595559,99.0,99.0,99.0,SA_PV_2025,0.5595559,55.144690000000004,5.5388265,39452.242,686.61786,37863.332,0.0,-58.642056000000004,-16.417807
7205,SA_PV2012,SHS,1798,7.1470781541365005,0.511442,99.0,99.0,99.0,SA_PV_2025,0.511442,24.436532999999997,2.2433991,15979.4,627.5785,15335.841999999999,0.0,-63.928825,-18.744375
7206,SA_PV2012,SHS,237,25.11185728079989,0.5440221,99.0,99.0,99.0,SA_PV_2025,0.5440221,85.8598,8.384497999999999,59721.53,667.5567599999999,57316.293,0.0,-62.755919999999996,-16.673153
7207,Non,SHS,365,44.02477181885757,0.48240194,99.0,99.0,99.0,SA_PV_2025,0.48240194,150.52483999999998,14.859619,92841.41,591.9441,89102.29,0.0,-62.073769999999996,-15.780354500000001
7208,SA_PV2012,SHS,2242,12.079093687067944,0.5281766,99.0,99.0,99.0,SA_PV_2025,0.5281766,41.299557,3.9155714999999995,27890.035,648.1131,26766.785,0.0,-64.66672,-17.884071
7210,SA_PV2012,SHS,1491,2.8588312628245007,0.5300020999999999,99.0,99.0,99.0,SA_PV_2025,0.5300020999999999,9.774613,0.92992467,6623.7153,650.35315,6356.95,0.0,-64.25881,-17.995414999999998
7211,SA_Diesel2012,SHS,230,17.950831432064874,0.46100166,99.0,99.0,99.0,SA_PV_2025,0.46100166,61.37558000000001,5.7901335,36176.17,565.6843,34719.203,0.0,-59.719832999999994,-18.438238000000002
7212,SA_PV2012,SHS,231,43.72475263931042,0.54374164,99.0,99.0,99.0,SA_PV_2025,0.54374164,149.49903999999998,14.591557,103933.49,667.21265,99747.65,0.0,-63.018744999999996,-16.530718
7213,MG_Diesel2012,SHS,1377,10.399749319982185,0.46013618,99.0,99.0,99.0,SA_PV_2025,0.46013618,35.55772,3.3481953,20919.188000000002,564.6223,20076.683999999997,0.0,-64.089714,-18.175646
7214,SA_Diesel2012,Lowlands,201,76.62003505403919,99.0,0.57758415,0.5473378000000001,0.41067892,Grid2025,0.41067892,261.9711,11.284611,127200.57,386.12686,101154.086,0.020552458,-60.968742000000006,-15.389382000000001
7215,MG_Diesel2012,SHS,255,34.99234606578969,0.7078911999999999,99.0,99.0,0.30168068,Grid2025,0.30168068,119.64211999999999,5.5732503,46148.348,290.0557,34702.88,0.112001,-61.174643999999994,-17.709057
7216,SA_PV2012,Lowlands,796,169.8881429968815,99.0,0.51742184,0.5059063,0.35638776,Grid2025,0.35638776,580.8635,23.745451,232275.45,310.70575,180477.64,0.085297145,-63.424126,-18.299263
7217,MG_Diesel2012,SHS,401,5.736833226574318,0.54457927,99.0,99.0,99.0,SA_PV_2025,0.54457927,19.614773,1.9174098999999998,13657.427,668.2404,13107.383999999998,0.0,-61.84924,-16.600958
7218,SA_Diesel2012,SHS,401,12.434592182388993,0.48160470000000005,99.0,99.0,99.0,SA_PV_2025,0.48160470000000005,42.51504,4.190094,26179.287,590.9658,25124.936,0.0,-62.416588,-15.943848000000001
7219,SA_Diesel2012,Lowlands,336,70.25295324962515,99.0,0.649895,0.6308269,99.0,MG_Diesel_2025,0.6308269,240.20146,12.177914,180658.83,441.2813,105996.414,0.0,-60.5808,-17.121264
7220,SA_PV2012,SHS,694,4.497801408885327,0.5322217,99.0,99.0,99.0,SA_PV_2025,0.5322217,15.378407000000001,1.4691782,10464.738000000001,653.0767,10043.279,0.0,-63.378130000000006,-18.133314000000002
