,Total GHI Energy
799,2480.645
800,2437.715
801,2410.417
802,2157.761
803,2060.547
804,2321.702
805,2495.127
806,1828.295
807,2222.192
808,2187.551
809,2445.721
810,2067.524
811,1759.876
812,1843.878
813,1867.575
814,2067.092
815,2418.099
816,2279.521
817,2479.589
818,2472.772
819,2638.789
820,2563.86
821,2512.898
822,2576.472
823,2559.49
824,2512.658
825,2560.39
826,2573.304
827,2561.274
828,2482.681
829,2570.233
830,2489.398
831,1790.929
832,1785.692
833,1801.691
834,2518.377
835,2397.11
836,2418.346
837,2505.101
838,2435.983
839,2357.403
840,2428.984
841,2399.364
842,2386.49
843,2508.09
844,2473.747
845,2458.959
846,2422.135
847,2353.702
848,2363.049
849,2437.177
850,2463.294
851,2564.418
852,2377.17
853,2612.437
854,2393.842
855,2350.619
856,2370.037
857,2503.178
858,2394.897
859,2498.694
860,2425.035
861,2481.478
862,2458.355
863,2420.65
864,2430.492
865,2599.389
866,2512.454
867,2652.527
868,1983.934
869,2111.789
870,1999.232
871,2002.817
872,2013.368
873,2024.193
874,2149.935
875,2030.524
876,2055.054
877,2119.476
878,1955.744
879,1998.695
880,2053.81
881,1993.144
882,1996.306
883,2048.324
884,2028.451
885,1997.964
886,2053.924
887,2149.491
888,1994.277
889,2031.695
890,2007.001
891,1991.981
892,2076.522
893,2005.22
894,2152.44
895,2099.56
896,2000.158
897,2151.054
898,2362.244
899,2202.055
900,2381.878
901,2385.013
902,1782.238
903,2301.386
904,2118.654
905,1908.588
906,2456.678
907,1879.917
908,2475.761
909,2487.692
910,2560.209
911,2559.899
912,2506.641
913,2555.354
914,2441.371
915,2487.271
916,2568.469
917,1793.106
918,1796.916
919,1814.212
920,1767.848
921,1776.239
922,1812.685
923,1770.725
924,1780.61
925,1768.114
926,1796.702
927,1812.039
928,1843.737
929,1780.592
930,1778.73
931,1769.265
932,1872.808
933,2204.198
934,2284.126
935,2324.975
936,2195.934
937,2088.058
938,2036.366
939,2166.944
940,1919.332
941,2183.992
942,2181.61
943,2251.49
944,1940.531
945,1999.318
946,2000.65
947,2011.921
948,2022.504
949,2241.378
950,2066.656
951,2108.091
952,2367.043
953,2389.483
954,2013.265
955,2356.427
956,2195.582
957,2301.089
958,2241.809
959,2325.513
960,2258.663
961,2245.515
962,2173.383
963,2204.334
964,1798.924
965,1872.147
966,2490.449
967,2461.283
968,2232.016
969,1845.798
970,2488.361
971,1788.674
972,2394.602
973,2229.158
974,1757.338
975,2274.428
976,2519.928
977,2488.638
978,2485.78
979,1870.508
980,2475.935
981,1867.995
982,2347.735
983,2160.094
984,2487.5
985,2553.4
986,2561.792
987,2521.71
988,2550.464
989,2593.994
990,2560.11
991,2433.46
992,2527.118
993,2493.865
994,2500.469
995,2570.466
996,2582.323
997,2488.373
998,2560.965
999,2480.691
1000,2534.575
1001,2493.71
1002,2562.394
1003,1785.629
1004,1785.611
1005,1814.787
1006,1776.464
1007,1816.934
