,0,1,2,3,4,5
66,14.722794643047177,6.136073126864339,6.407681700596552,6.177544340927793,7.750797554947697,8.827521436202113
67,0.0,0.0,0.0,0.0,0.0,-0.0
68,0.0,-0.0,0.0,-0.0,-0.0,0.0
69,-0.0,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,-0.0,0.0,-0.0,0.0
71,-0.0,0.0,-0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,-0.0,0.0,-0.0
73,-0.0,0.0,0.0,0.0,0.0,0.0
74,0.0,-0.0,-0.0,-0.0,0.0,0.0
75,0.0,0.0,0.0,-0.0,0.0,0.0
76,-0.0,0.0,0.0,0.0,0.0,0.0
77,0.0,1.31167364747649,1.0897379900311297,1.0889116661090765,0.9082364583108526,1.083816008645582
78,7.026791965475647,21.3208354950686,20.222354707950874,20.90905457300185,20.03467889609406,20.544018048172717
