,Base_To_Peak_Ratio
779,1e-06
780,1e-06
781,1e-06
782,1e-06
783,1e-06
784,1e-06
785,1e-06
786,1e-06
787,1e-06
788,1e-06
789,1e-06
790,1e-06
791,1e-06
792,1e-06
793,1e-06
794,1e-06
795,1e-06
796,1e-06
797,1e-06
798,1e-06
799,1e-06
800,1e-06
801,1e-06
802,1e-06
803,1e-06
804,1e-06
805,1e-06
806,1e-06
807,1e-06
808,1e-06
809,1e-06
810,1e-06
811,1e-06
812,1e-06
813,1e-06
814,1e-06
815,1e-06
816,1e-06
817,1e-06
818,1e-06
819,1e-06
820,1e-06
821,1e-06
822,1e-06
823,1e-06
824,1e-06
825,1e-06
826,1e-06
827,1e-06
828,1e-06
829,1e-06
830,1e-06
831,1e-06
832,1e-06
833,0.52
834,1e-06
835,1e-06
836,1e-06
837,1e-06
838,1e-06
839,1e-06
840,1e-06
841,1e-06
842,1e-06
843,1e-06
844,1e-06
845,1e-06
846,1e-06
847,1e-06
848,1e-06
849,1e-06
850,1e-06
851,1e-06
852,1e-06
853,1e-06
854,1e-06
855,1e-06
856,1e-06
857,1e-06
858,1e-06
859,1e-06
860,1e-06
861,1e-06
862,1e-06
863,1e-06
864,1e-06
865,1e-06
866,1e-06
867,1e-06
868,1e-06
869,1e-06
870,1e-06
871,1e-06
872,1e-06
873,1e-06
874,1e-06
875,0.54
876,1e-06
877,1e-06
878,0.52
879,1e-06
880,1e-06
881,1e-06
882,1e-06
883,1e-06
884,1e-06
885,1e-06
886,1e-06
887,1e-06
888,1e-06
889,1e-06
890,0.51
891,1e-06
892,1e-06
893,1e-06
894,1e-06
895,1e-06
896,1e-06
897,1e-06
898,1e-06
899,1e-06
900,1e-06
901,1e-06
902,1e-06
903,1e-06
904,1e-06
905,0.57
906,1e-06
907,1e-06
908,1e-06
909,1e-06
910,1e-06
911,1e-06
912,1e-06
913,1e-06
914,1e-06
915,1e-06
916,1e-06
917,1e-06
918,1e-06
919,1e-06
920,1e-06
921,1e-06
922,0.49
923,1e-06
924,1e-06
925,1e-06
926,1e-06
927,1e-06
928,1e-06
929,1e-06
930,1e-06
931,1e-06
932,1e-06
933,1e-06
934,1e-06
935,1e-06
936,1e-06
937,1e-06
938,1e-06
939,1e-06
940,1e-06
941,1e-06
942,1e-06
943,1e-06
944,1e-06
945,1e-06
946,1e-06
947,1e-06
948,1e-06
949,1e-06
950,1e-06
951,1e-06
952,1e-06
953,1e-06
954,1e-06
955,1e-06
956,1e-06
957,1e-06
958,1e-06
959,1e-06
960,1e-06
961,1e-06
962,1e-06
963,1e-06
964,1e-06
965,1e-06
966,1e-06
967,1e-06
968,1e-06
969,1e-06
970,1e-06
971,1e-06
972,1e-06
973,1e-06
974,1e-06
975,1e-06
976,1e-06
977,1e-06
978,1e-06
979,1e-06
980,1e-06
981,1e-06
982,1e-06
983,1e-06
984,1e-06
985,1e-06
986,1e-06
987,1e-06
988,1e-06
989,1e-06
990,1e-06
991,1e-06
992,1e-06
993,1e-06
994,1e-06
995,1e-06
996,1e-06
997,1e-06
998,1e-06
999,1e-06
1000,1e-06
1001,1e-06
1002,1e-06
1003,1e-06
1004,1e-06
1005,1e-06
1006,1e-06
1007,1e-06
1008,1e-06
1009,1e-06
1010,1e-06
1011,1e-06
1012,1e-06
1013,1e-06
1014,1e-06
1015,1e-06
1016,1e-06
1017,1e-06
1018,1e-06
1019,1e-06
1020,1e-06
1021,1e-06
1022,1e-06
1023,1e-06
1024,1e-06
1025,1e-06
1026,1e-06
1027,1e-06
1028,1e-06
1029,1e-06
1030,1e-06
1031,1e-06
1032,1e-06
1033,1e-06
1034,1e-06
1035,1e-06
1036,1e-06
1037,1e-06
1038,1e-06
1039,1e-06
1040,1e-06
1041,1e-06
1042,1e-06
1043,1e-06
1044,0.55
1045,1e-06
1046,0.56
1047,1e-06
1048,1e-06
1049,1e-06
1050,1e-06
1051,1e-06
1052,1e-06
1053,1e-06
1054,0.56
1055,1e-06
1056,1e-06
1057,1e-06
1058,1e-06
1059,1e-06
1060,1e-06
1061,1e-06
1062,1e-06
1063,1e-06
1064,1e-06
1065,0.55
1066,1e-06
1067,1e-06
1068,1e-06
1069,1e-06
1070,1e-06
1071,1e-06
1072,1e-06
1073,1e-06
1074,1e-06
1075,1e-06
1076,1e-06
1077,1e-06
1078,1e-06
1079,0.49
1080,1e-06
1081,1e-06
1082,1e-06
1083,1e-06
1084,0.5
1085,1e-06
1086,0.49
1087,1e-06
1088,1e-06
1089,0.56
1090,1e-06
1091,0.55
1092,1e-06
1093,1e-06
1094,1e-06
1095,1e-06
1096,1e-06
1097,1e-06
1098,1e-06
1099,1e-06
1100,1e-06
1101,1e-06
1102,1e-06
1103,1e-06
1104,1e-06
1105,1e-06
1106,1e-06
1107,1e-06
1108,1e-06
1109,1e-06
1110,1e-06
1111,1e-06
1112,1e-06
1113,1e-06
1114,1e-06
1115,1e-06
1116,1e-06
1117,1e-06
1118,1e-06
1119,1e-06
1120,1e-06
1121,1e-06
1122,1e-06
1123,1e-06
1124,1e-06
1125,1e-06
1126,1e-06
1127,1e-06
1128,1e-06
1129,1e-06
1130,1e-06
1131,1e-06
1132,1e-06
1133,1e-06
1134,1e-06
1135,1e-06
1136,1e-06
1137,1e-06
1138,1e-06
1139,1e-06
1140,1e-06
1141,1e-06
1142,1e-06
1143,1e-06
1144,1e-06
1145,1e-06
1146,1e-06
1147,1e-06
1148,1e-06
1149,1e-06
1150,1e-06
1151,1e-06
1152,1e-06
1153,1e-06
1154,1e-06
1155,1e-06
1156,1e-06
1157,1e-06
1158,1e-06
1159,1e-06
1160,1e-06
1161,1e-06
1162,1e-06
1163,1e-06
1164,1e-06
1165,1e-06
1166,1e-06
1167,1e-06
1168,1e-06
1169,1e-06
1170,1e-06
1171,1e-06
1172,1e-06
1173,1e-06
1174,1e-06
1175,0.55
1176,1e-06
1177,1e-06
1178,1e-06
1179,1e-06
1180,1e-06
1181,1e-06
1182,1e-06
1183,1e-06
1184,1e-06
1185,1e-06
1186,1e-06
1187,1e-06
1188,1e-06
1189,1e-06
1190,1e-06
1191,1e-06
1192,1e-06
1193,1e-06
1194,1e-06
1195,1e-06
1196,1e-06
1197,1e-06
1198,1e-06
1199,1e-06
1200,1e-06
1201,1e-06
1202,1e-06
1203,1e-06
1204,1e-06
1205,1e-06
1206,1e-06
1207,1e-06
1208,1e-06
1209,1e-06
1210,1e-06
1211,1e-06
1212,1e-06
1213,1e-06
1214,1e-06
1215,1e-06
1216,1e-06
1217,1e-06
1218,1e-06
1219,1e-06
1220,1e-06
1221,1e-06
1222,1e-06
1223,1e-06
1224,1e-06
1225,1e-06
1226,1e-06
1227,1e-06
1228,1e-06
1229,1e-06
1230,1e-06
1231,1e-06
1232,1e-06
1233,1e-06
1234,1e-06
1235,0.51
1236,1e-06
1237,1e-06
1238,1e-06
1239,1e-06
1240,1e-06
1241,0.56
1242,0.49
1243,1e-06
1244,1e-06
1245,1e-06
1246,1e-06
1247,1e-06
1248,1e-06
1249,1e-06
1250,1e-06
1251,1e-06
1252,1e-06
1253,1e-06
1254,1e-06
1255,1e-06
1256,1e-06
1257,1e-06
1258,1e-06
1259,1e-06
1260,1e-06
1261,1e-06
1262,1e-06
1263,1e-06
1264,1e-06
1265,1e-06
1266,1e-06
1267,1e-06
1268,1e-06
1269,1e-06
1270,1e-06
1271,1e-06
1272,1e-06
1273,1e-06
1274,1e-06
1275,1e-06
1276,1e-06
1277,1e-06
1278,0.5
1279,1e-06
1280,1e-06
1281,1e-06
1282,1e-06
1283,1e-06
1284,1e-06
1285,1e-06
1286,1e-06
1287,1e-06
1288,1e-06
1289,1e-06
1290,1e-06
1291,1e-06
1292,1e-06
1293,1e-06
1294,1e-06
1295,1e-06
1296,1e-06
1297,1e-06
1298,1e-06
1299,1e-06
1300,1e-06
1301,1e-06
1302,1e-06
1303,0.57
1304,1e-06
1305,1e-06
1306,1e-06
1307,1e-06
1308,1e-06
1309,1e-06
1310,1e-06
1311,1e-06
1312,1e-06
1313,1e-06
1314,1e-06
1315,1e-06
1316,1e-06
1317,1e-06
1318,1e-06
1319,1e-06
1320,1e-06
1321,1e-06
1322,1e-06
1323,1e-06
1324,1e-06
1325,1e-06
1326,1e-06
1327,1e-06
1328,1e-06
1329,1e-06
1330,1e-06
1331,1e-06
1332,1e-06
1333,1e-06
1334,1e-06
1335,1e-06
1336,1e-06
1337,1e-06
1338,1e-06
1339,1e-06
1340,1e-06
1341,1e-06
1342,1e-06
1343,1e-06
1344,1e-06
1345,1e-06
1346,1e-06
1347,1e-06
1348,1e-06
1349,1e-06
1350,1e-06
1351,1e-06
1352,1e-06
1353,1e-06
1354,1e-06
1355,1e-06
1356,1e-06
1357,1e-06
1358,1e-06
1359,1e-06
1360,1e-06
1361,1e-06
1362,1e-06
1363,1e-06
1364,1e-06
1365,1e-06
1366,1e-06
1367,1e-06
1368,1e-06
1369,1e-06
1370,1e-06
1371,1e-06
1372,1e-06
1373,1e-06
1374,1e-06
1375,1e-06
1376,1e-06
1377,1e-06
1378,1e-06
1379,1e-06
1380,1e-06
1381,1e-06
1382,1e-06
1383,1e-06
1384,1e-06
1385,1e-06
1386,1e-06
1387,1e-06
1388,1e-06
1389,1e-06
1390,1e-06
1391,1e-06
1392,1e-06
1393,0.48
1394,1e-06
1395,1e-06
1396,1e-06
1397,1e-06
1398,1e-06
1399,1e-06
1400,1e-06
1401,1e-06
1402,1e-06
1403,1e-06
1404,1e-06
1405,1e-06
1406,1e-06
1407,1e-06
1408,1e-06
1409,1e-06
1410,1e-06
