,Renewable Invesment Cost,Battery Unitary Invesment Cost,Deep of Discharge,Battery Cycles,GenSet Unitary Invesment Cost,Generator Efficiency,Low Heating Value,Fuel Cost,HouseHolds,Renewable Energy Unit Total
79,1500,550,0.2,5500,1480,0.314,9.89,0.678184,17.12074460044703,436.79220899491247
80,1500,550,0.2,5500,1480,0.314,9.89,0.621568,0.20650530255819843,415.55071983257454
81,1500,550,0.2,5500,1480,0.314,9.89,0.618872,0.20650530255819843,413.0818549186043
82,1500,550,0.2,5500,1480,0.314,9.89,0.608088,5.92010220535977,422.1772599172492
83,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,1.222910328561577,415.7273102053703
84,1500,550,0.2,5500,1480,0.314,9.89,0.6242639999999999,0.20650530255819843,414.3409029550119
85,1500,550,0.2,5500,1480,0.314,9.89,0.6,16.33438797823557,544.6701692234105
86,1500,550,0.2,5500,1480,0.314,9.89,0.648528,29.10183578966595,463.4524305015337
87,1500,550,0.2,5500,1480,0.314,9.89,0.602696,5.098146616512031,578.8006473720687
88,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,97.19917511571707,455.8845868986586
89,1500,550,0.2,5500,1480,0.314,9.89,0.61348,0.826021210817744,448.61110768089964
90,1500,550,0.2,5500,1480,0.314,9.89,0.713232,10.196293233609012,525.8714527295712
91,1500,550,0.2,5500,1480,0.314,9.89,0.610784,15.897834272470403,438.22276132857314
92,1500,550,0.2,5500,1480,0.314,9.89,0.616176,58.6464150855292,599.1173488343842
93,1500,550,0.2,5500,1480,0.314,9.89,0.6,324.40297110251475,553.6206950856433
94,1500,550,0.2,5500,1480,0.314,9.89,0.6,7.337461970784513,573.4678667186855
95,1500,550,0.2,5500,1480,0.314,9.89,0.616176,12.468867966364279,588.6747444886372
96,1500,550,0.2,5500,1480,0.314,9.89,0.610784,18.542028990259073,454.2464298135391
97,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,18.05975723273938,496.1860792204464
98,1500,550,0.2,5500,1480,0.314,9.89,0.61348,1.222910328561577,540.8890146180138
99,1500,550,0.2,5500,1480,0.314,9.89,0.61348,13.452013613592397,453.69358290264296
100,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,91.3781632285223,593.1561730313158
101,1500,550,0.2,5500,1480,0.314,9.89,0.621568,68.118473257542,444.7391070263894
102,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,32.7404975863602,599.6646417089951
103,1500,550,0.2,5500,1480,0.314,9.89,0.629656,4.119066588914112,567.8942287412093
104,1500,550,0.2,5500,1480,0.314,9.89,0.62696,15.923978814845473,621.1221645080086
105,1500,550,0.2,5500,1480,0.314,9.89,0.610784,43.656201050886615,452.1010981474095
106,1500,550,0.2,5500,1480,0.314,9.89,0.610784,46.30838601093794,542.0290922281565
107,1500,550,0.2,5500,1480,0.314,9.89,0.610784,97.97108680927872,563.7791284889028
108,1500,550,0.2,5500,1480,0.314,9.89,0.602696,11.653886220721139,581.3132613934605
109,1500,550,0.2,5500,1480,0.314,9.89,0.616176,4.306401188499668,589.405707675503
110,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,3.0653365633353733,622.7395802184527
111,1500,550,0.2,5500,1480,0.314,9.89,0.602696,27.017018601863384,586.4895203522748
112,1500,550,0.2,5500,1480,0.314,9.89,0.621568,13.077344411496531,528.902918623753
113,1500,550,0.2,5500,1480,0.314,9.89,0.62696,7.750472577655759,525.0580476673815
114,1500,550,0.2,5500,1480,0.314,9.89,0.64044,9.416603672754064,621.5722484614741
115,1500,550,0.2,5500,1480,0.314,9.89,0.61348,231.78796692319116,507.0917048012876
116,1500,550,0.2,5500,1480,0.314,9.89,0.618872,17.12074460044703,424.01109661703055
117,1500,550,0.2,5500,1480,0.314,9.89,0.632352,0.41301060511639687,421.00840450535713
118,1500,550,0.2,5500,1480,0.314,9.89,0.616176,9.38232788877878,609.1635584777557
119,1500,550,0.2,5500,1480,0.314,9.89,0.6,1.4455371152751137,551.9701549755537
120,1500,550,0.2,5500,1480,0.314,9.89,0.62696,12.293589232766225,555.3021373507192
121,1500,550,0.2,5500,1480,0.314,9.89,0.602696,3.490403036194131,544.5212886800663
122,1500,550,0.2,5500,1480,0.314,9.89,0.62696,30.056210652071197,616.3577931850493
123,1500,550,0.2,5500,1480,0.314,9.89,0.621568,2.4629585464785184,420.25968671687
124,1500,550,0.2,5500,1480,0.314,9.89,0.6242639999999999,26.396204330090274,581.1687738487619
125,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,6.551673981654151,524.7666161043052
126,1500,550,0.2,5500,1480,0.314,9.89,0.608088,3.6687309868546314,643.2027037792068
127,1500,550,0.2,5500,1480,0.314,9.89,0.616176,107.74508077964211,621.8914731014877
128,1500,550,0.2,5500,1480,0.314,9.89,0.610784,23.191163213695386,639.045428512201
129,1500,550,0.2,5500,1480,0.314,9.89,0.602696,62.3833908514669,622.9170801121128
130,1500,550,0.2,5500,1480,0.314,9.89,0.602696,64.82502968917387,634.6441184282937
131,1500,550,0.2,5500,1480,0.314,9.89,0.61348,8.56037229876114,646.5912668654165
132,1500,550,0.2,5500,1480,0.314,9.89,0.610784,74.42856979463974,656.0186883737206
133,1500,550,0.2,5500,1480,0.314,9.89,0.621568,6.944638474425733,645.3669811962584
134,1500,550,0.2,5500,1480,0.314,9.89,0.602696,17.99120563261656,601.7773495092781
135,1500,550,0.2,5500,1480,0.314,9.89,0.6,6.319024134673557,600.2324653578777
136,1500,550,0.2,5500,1480,0.314,9.89,0.616176,15.326682837150127,616.1383067200574
137,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,17.950831432064874,641.6720225591099
138,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,30.958491691975546,627.2239574321475
139,1500,550,0.2,5500,1480,0.314,9.89,0.6242639999999999,1.4294156311197752,419.4879854589217
140,1500,550,0.2,5500,1480,0.314,9.89,0.62696,8.766877603659138,422.29639341808235
141,1500,550,0.2,5500,1480,0.314,9.89,0.61348,8.56037229876114,414.7379557402689
142,1500,550,0.2,5500,1480,0.314,9.89,0.635048,28.545905605594275,412.33192231312836
143,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,32.63185381360831,417.3767805699611
144,1500,550,0.2,5500,1480,0.314,9.89,0.621568,7.960027095229085,417.74201335035883
145,1500,550,0.2,5500,1480,0.314,9.89,0.602696,7.403980725410271,597.1724738001429
146,1500,550,0.2,5500,1480,0.314,9.89,0.608088,11.66797490003345,611.7874608765574
147,1500,550,0.2,5500,1480,0.314,9.89,0.621568,7.5842004959075195,620.0093703214496
148,1500,550,0.2,5500,1480,0.314,9.89,0.62696,52.25971477736103,582.488892931449
149,1500,550,0.2,5500,1480,0.314,9.89,0.602696,8.56037229876114,594.3396269466856
150,1500,550,0.2,5500,1480,0.314,9.89,0.6,12.127317136394225,608.9959217906876
151,1500,550,0.2,5500,1480,0.314,9.89,0.616176,35.093795947574925,606.8347308054799
152,1500,550,0.2,5500,1480,0.314,9.89,0.6,10.244657708595613,611.4692133851621
153,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,5.098146616512031,592.5515331170808
154,1500,550,0.2,5500,1480,0.314,9.89,0.608088,9.610036706464522,645.4511596303294
155,1500,550,0.2,5500,1480,0.314,9.89,0.610784,29.250094564789826,622.1816416137809
156,1500,550,0.2,5500,1480,0.314,9.89,0.62696,13.925444523415981,609.1822243009765
157,1500,550,0.2,5500,1480,0.314,9.89,0.6620079999999999,16.110438004473906,577.3706025968061
158,1500,550,0.2,5500,1480,0.314,9.89,0.629656,13.452013613592397,573.4473017317753
159,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,9.990804336543317,595.9139610048295
160,1500,550,0.2,5500,1480,0.314,9.89,0.645832,18.775695248581666,621.0729057499117
161,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,98.85010673141578,619.7416997750909
162,1500,550,0.2,5500,1480,0.314,9.89,0.648528,7.337461970784513,587.8251530060932
163,1500,550,0.2,5500,1480,0.314,9.89,0.602696,14.33656333677324,595.9665861810738
164,1500,550,0.2,5500,1480,0.314,9.89,0.648528,48.94778070871346,592.166926023214
165,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,3.490403036194131,621.9563267657425
166,1500,550,0.2,5500,1480,0.314,9.89,0.602696,49.8776456634957,597.8381510405308
167,1500,550,0.2,5500,1480,0.314,9.89,0.6242639999999999,2.684568932964106,609.815923705314
168,1500,550,0.2,5500,1480,0.314,9.89,0.618872,15.92005419045817,638.5692307700775
169,1500,550,0.2,5500,1480,0.314,9.89,0.6431359999999999,39.80101087469602,619.9062299174886
170,1500,550,0.2,5500,1480,0.314,9.89,0.645832,16.744918006974963,622.8967930281295
171,1500,550,0.2,5500,1480,0.314,9.89,0.602696,8.195726155177482,621.8980855300642
172,1500,550,0.2,5500,1480,0.314,9.89,0.618872,22.012385915278287,600.8740714938375
173,1500,550,0.2,5500,1480,0.314,9.89,0.6053919999999999,19.770021345990678,601.074255961788
174,1500,550,0.2,5500,1480,0.314,9.89,0.616176,20.987849649137075,591.157004864634
175,1500,550,0.2,5500,1480,0.314,9.89,0.602696,7.542950867557734,617.9412274876082
176,1500,550,0.2,5500,1480,0.314,9.89,0.602696,959.0766725470434,617.0191026379832
177,1500,550,0.2,5500,1480,0.314,9.89,0.610784,62.00378062124607,594.4630619915924
178,1500,550,0.2,5500,1480,0.314,9.89,0.608088,1.222910328561577,634.9948311507303
179,1500,550,0.2,5500,1480,0.314,9.89,0.6242639999999999,17.12074460044703,605.4302389090424
180,1500,550,0.2,5500,1480,0.314,9.89,0.629656,14.674923941569025,611.5829926747831
181,1500,550,0.2,5500,1480,0.314,9.89,0.616176,6.114551642807885,650.0899966534937
182,1500,550,0.2,5500,1480,0.314,9.89,0.621568,17.152987576947005,601.627379392528
183,1500,550,0.2,5500,1480,0.314,9.89,0.608088,8.766877603659138,645.5145494008925
184,1500,550,0.2,5500,1480,0.314,9.89,0.602696,8.612802382848836,597.0540403185348
185,1500,550,0.2,5500,1480,0.314,9.89,0.621568,14.272952799872387,590.76259682214
