,2012,2013,2014,2015
53,0.0,-0.0,0.0,-0.0
54,6.5373968371066,4.023692225962679,4.974429363757151,3.7385211199959936
55,36.322539432843286,23.93467706136859,27.897482786135285,19.660399365266336
56,71.09347850944982,54.189728894664206,58.126468302614114,33.19207246585273
57,104.5964950962745,94.10961065599807,91.81433786674786,41.12506959006575
58,138.41456143581928,131.30929298302576,120.13596695955695,47.4582278592053
59,172.82212870508317,153.5242429748429,148.34266685232237,50.96005325503024
60,197.49533615483196,158.08819834064056,167.00173339596915,53.92916327476826
61,191.05258897583516,148.75990802733997,165.6113387446997,53.91744568913452
62,170.92289937280944,134.23055266642822,133.58369591854202,53.67849776061314
63,141.27198333038132,103.98259641836809,105.88014368822473,45.64401947914077
64,102.23676342519903,64.88006819070561,73.39386075770256,32.45211108888414
65,57.99682466460752,35.407525975946044,37.66355918925051,17.098987573034517
66,14.722794643047177,6.641300210018842,7.122566397042897,4.470474949174702
67,0.0,0.0,0.0,-0.0
68,0.0,-0.0,0.0,0.0
69,-0.0,-0.0,-0.0,0.0
70,0.0,0.0,0.0,0.0
71,-0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,-0.0
73,-0.0,0.0,0.0,-0.0
74,0.0,0.0,-0.0,0.0
75,0.0,0.0,0.0,0.0
76,-0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,-0.0
78,7.026791965475647,3.9842995816527202,1.3277820348945975,5.761888271310231
79,49.76260240668428,25.55232226185337,9.71649463589616,29.85074236248456
80,103.53953386976924,58.256059331951626,23.233095777320024,55.571346435276006
81,147.83938642066158,93.30280838415335,38.80092577413009,78.29738898749514
82,178.1903687550159,113.5171804332349,54.903455819034136,97.4304474667514
83,196.30844054086057,119.62368520031674,67.47113385152804,115.50359872774587
84,204.89488294238316,123.31767255555646,73.00017637496325,131.29678989980303
85,204.20443530964675,120.42411296263678,67.81203475405219,150.6660962483291
86,190.56414536077185,115.75839684701862,58.19186006041788,152.7446419183631
87,155.97660780154354,100.35861394930467,47.21770127086284,124.81923241731704
88,109.10999166969111,75.92874590112064,36.37223252804012,81.19839265086236
89,62.18338420888086,42.76501460705013,19.83812899784949,41.8026534129991
90,14.153824803504788,9.89783109154598,4.4517700871255315,11.428899999230433
91,0.0,0.0,-0.0,0.0
92,0.0,0.0,0.0,-0.0
93,-0.0,0.0,0.0,-0.0
94,0.0,-0.0,0.0,0.0
95,0.0,0.0,0.0,0.0
96,0.0,-0.0,0.0,-0.0
97,-0.0,0.0,0.0,0.0
98,-0.0,0.0,0.0,-0.0
99,-0.0,0.0,0.0,0.0
100,0.0,-0.0,0.0,0.0
101,-0.0,-0.0,0.0,0.0
102,6.302577521880014,7.219910915081959,6.253071142001586,4.776125119006466
103,53.56278986675425,43.247906796972764,49.6418126150685,31.407809779195603
104,111.96593300691366,85.29260910432531,106.48880287137789,72.05532933589924
105,160.3426087412304,127.56363973395679,155.50181727710162,117.92769497109859
106,194.29210436407357,156.8305718527645,184.5713946821436,159.5371392671145
107,214.28853943156128,170.54227388474413,208.90813034640507,183.34044532491495
108,220.53848369786434,175.26596450897586,212.22644213364453,185.7921480056246
109,208.6963259914951,169.89218339982267,205.06407141323206,178.4535113553457
110,187.43768151632196,154.03668014634198,188.32483907332605,153.94170765138722
111,154.9972674519163,124.88668384438363,155.75093998134466,120.0783938883521
112,110.70737121762781,85.84557569925101,114.06064273328765,82.02148729944724
113,59.89378164412839,41.23605031911557,59.87623025401877,41.5208285774374
114,13.881484994403893,8.64228713167588,13.37325993081843,8.909343247396112
