,FinalElecCode2012,Demand_Name2025,Elevation,HouseHolds,LCOE_SHS2025,LCOE_MG_Hybrid_LowLands2025,LCOE_MG_Hybrid_HighLands2025,LCOE_Grid2025,MinimumOverall2025,MinimumOverallLCOE2025,NewConnections2025,PVcapacity2025,GenSetcapacity2025,Batterycapacity2025,NewCapacity2025,NPC2025,InvestmentCapita2025,InvestmentCost2025,MinGridDist2025
13813,SA_Diesel2012,Highlands,2030,63.17920188741046,99.0,99.0,0.40774223,99.0,MG_Hybrid_HighLands2025,0.40774223,216.01564,-7.1175527999999995,7.5723825,19.004904,19.459732000000002,129690.57,439.34405999999996,94905.19,0.0
13816,SA_PV2012,Highlands,3516,51.79557249729663,99.0,99.0,0.4337944,99.0,MG_Hybrid_HighLands2025,0.4337944,177.09393,-6.8177509999999995,6.4697614,16.615019,16.267029,116514.4,484.37888,85780.56,0.0
13829,SA_PV2012,Highlands,2505,141.82289934811854,99.0,99.0,0.32208797,99.0,MG_Hybrid_HighLands2025,0.32208797,484.90582,-4.6622434,15.185034,38.106646999999995,48.629436,214917.55,313.97342000000003,152247.53,0.0
13842,SA_PV2012,Highlands,2520,68.11847325754199,99.0,99.0,0.4039601,99.0,MG_Hybrid_HighLands2025,0.4039601,232.90347000000003,-7.3327990000000005,8.050853,20.051668,20.769724,137540.64,432.65482000000003,100766.805,0.0
13844,SA_PV2012,Highlands,2484,103.93300726729512,99.0,99.0,0.35024995,99.0,MG_Hybrid_HighLands2025,0.35024995,355.35672,-5.7534227,11.517128999999999,28.404345000000003,34.16805,174489.45,354.23456,125879.63,0.0
13852,SA_Diesel2012,Highlands,2301,62.767207695098456,99.0,99.0,0.40498126,99.0,MG_Hybrid_HighLands2025,0.40498126,214.607,-7.164325,7.532546000000001,18.917362,19.285583,128120.38,436.0527,93579.96,0.0
13887,Non,Highlands,874,77.0433506976245,99.0,99.0,0.35942584,99.0,MG_Hybrid_HighLands2025,0.35942584,263.41846,-7.7879567,8.917936,22.107895000000003,23.237875,146737.1,376.2215,99103.69,0.0
13900,Non,Highlands,3278,68.48297840763763,99.0,99.0,0.38723877,99.0,MG_Hybrid_HighLands2025,0.38723877,234.14975,-7.476450999999999,8.086419,20.14932,20.759289000000003,132892.28,410.84445,96199.125,0.0
13905,SA_PV2012,Highlands,3355,100.46061754065012,99.0,99.0,0.35261238,99.0,MG_Hybrid_HighLands2025,0.35261238,343.4843,-6.3187323,11.181624000000001,27.581095,32.44399,171203.2,358.63527999999997,123185.59,0.0
13912,SA_PV2012,Highlands,3605,66.25382709220403,99.0,99.0,0.39269894,99.0,MG_Hybrid_HighLands2025,0.39269894,226.52806,-7.453689,7.8704165999999995,19.635721,20.052448000000002,130624.85,419.62448,95056.73,0.0
13941,SA_Diesel2012,Highlands,2241,54.24342598675547,99.0,99.0,0.41621146,99.0,MG_Hybrid_HighLands2025,0.41621146,185.46338,-8.457042999999999,6.7093525,17.124016,15.376326,119159.1,455.8761,84548.32,0.0
